 t              planeWave_Unnamed_point_outRq_Ex_50_50_50.dat       incid
     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
     0.38516665412658E-008     0.00000000000000E+000     0.00000000000000E+000
     0.77033330825316E-008     0.00000000000000E+000     0.00000000000000E+000
     0.11554999623797E-007     0.00000000000000E+000     0.00000000000000E+000
     0.15406666165063E-007     0.00000000000000E+000     0.00000000000000E+000
     0.19258333594507E-007     0.00000000000000E+000     0.00000000000000E+000
     0.23109999247595E-007     0.00000000000000E+000     0.00000000000000E+000
     0.26961664900682E-007     0.00000000000000E+000     0.00000000000000E+000
     0.30813332330126E-007     0.00000000000000E+000     0.00000000000000E+000
     0.34664999759570E-007     0.00000000000000E+000     0.00000000000000E+000
     0.38516667189015E-007     0.00000000000000E+000     0.00000000000000E+000
     0.42368331065745E-007     0.00000000000000E+000     0.00000000000000E+000
     0.46219998495189E-007     0.00000000000000E+000     0.00000000000000E+000
     0.50071665924634E-007     0.00000000000000E+000     0.00000000000000E+000
     0.53923329801364E-007     0.00000000000000E+000     0.00000000000000E+000
     0.57774997230808E-007     0.00000000000000E+000     0.00000000000000E+000
     0.61626664660253E-007     0.00000000000000E+000     0.00000000000000E+000
     0.65478332089697E-007     0.00000000000000E+000     0.00000000000000E+000
     0.69329999519141E-007     0.00000000000000E+000     0.00000000000000E+000
     0.73181666948585E-007     0.00000000000000E+000     0.00000000000000E+000
     0.77033334378029E-007     0.00000000000000E+000     0.00000000000000E+000
     0.80884994702046E-007     0.00000000000000E+000     0.00000000000000E+000
     0.84736662131490E-007     0.00000000000000E+000     0.00000000000000E+000
     0.88588329560935E-007     0.00000000000000E+000     0.00000000000000E+000
     0.92439996990379E-007     0.00000000000000E+000     0.00000000000000E+000
     0.96291664419823E-007     0.00000000000000E+000     0.00000000000000E+000
     0.10014333184927E-006     0.00000000000000E+000     0.00000000000000E+000
     0.10399499927871E-006     0.00000000000000E+000     0.00000000000000E+000
     0.10784665960273E-006     0.00000000000000E+000     0.00000000000000E+000
     0.11169832703217E-006     0.00000000000000E+000     0.00000000000000E+000
     0.11554999446162E-006     0.77592796208822E-025     0.00000000000000E+000
     0.11940166189106E-006     0.39150985288111E-023     0.00000000000000E+000
     0.12325332932051E-006     0.99639026698098E-022     0.00000000000000E+000
     0.12710499674995E-006     0.17049476816489E-020     0.00000000000000E+000
     0.13095666417939E-006     0.22061540246946E-019     0.00000000000000E+000
     0.13480833160884E-006     0.23021547971299E-018     0.00000000000000E+000
     0.13865999903828E-006     0.20176368230580E-017     0.00000000000000E+000
     0.14251166646773E-006     0.15272470568861E-016     0.00000000000000E+000
     0.14636333389717E-006     0.10190795001737E-015     0.00000000000000E+000
     0.15021500132661E-006     0.60884315320077E-015     0.00000000000000E+000
     0.15406666875606E-006     0.32970863350992E-014     0.00000000000000E+000
     0.15791832197465E-006     0.16345155819651E-013     0.00000000000000E+000
     0.16176998940409E-006     0.74788631776283E-013     0.00000000000000E+000
     0.16562165683354E-006     0.31802040384790E-012     0.00000000000000E+000
     0.16947332426298E-006     0.12641322450629E-011     0.00000000000000E+000
     0.17332499169243E-006     0.47211453496621E-011     0.00000000000000E+000
     0.17717665912187E-006     0.16639559521914E-010     0.00000000000000E+000
     0.18102832655131E-006     0.55561527601000E-010     0.00000000000000E+000
     0.18487999398076E-006     0.17638389360197E-009     0.00000000000000E+000
     0.18873166141020E-006     0.53402077204723E-009     0.00000000000000E+000
     0.19258332883965E-006     0.15463459401843E-008     0.00000000000000E+000
     0.19643499626909E-006     0.42936911803793E-008     0.00000000000000E+000
     0.20028666369853E-006     0.11459459159369E-007     0.00000000000000E+000
     0.20413833112798E-006     0.29461775241657E-007     0.00000000000000E+000
     0.20798999855742E-006     0.73113078258302E-007     0.00000000000000E+000
     0.21184166598687E-006     0.17546346953168E-006     0.00000000000000E+000
     0.21569331920546E-006     0.40793054267851E-006     0.00000000000000E+000
     0.21954498663490E-006     0.92021127784392E-006     0.00000000000000E+000
     0.22339665406435E-006     0.20170996322122E-005     0.00000000000000E+000
     0.22724832149379E-006     0.43021509554819E-005     0.00000000000000E+000
     0.23109998892323E-006     0.89389395725448E-005     0.00000000000000E+000
     0.23495165635268E-006     0.18113216356141E-004     0.00000000000000E+000
     0.23880332378212E-006     0.35828197724186E-004     0.00000000000000E+000
     0.24265500542242E-006     0.69235546106938E-004     0.00000000000000E+000
     0.24650665864101E-006     0.13080035569146E-003     0.00000000000000E+000
     0.25035831185960E-006     0.24172032135539E-003     0.00000000000000E+000
     0.25420999349990E-006     0.43716133222915E-003     0.22083964722697E-004
     0.25806164671849E-006     0.77401491580531E-003     0.52823823352810E-004
     0.26191332835879E-006     0.13419911265373E-002     0.12176028394606E-003
     0.26576498157738E-006     0.22788716014475E-002     0.27046076138504E-003
     0.26961666321768E-006     0.37905736826360E-002     0.57893374469131E-003
     0.27346831643627E-006     0.61762090772390E-002     0.11941983830184E-002
     0.27731999807656E-006     0.98574273288250E-002     0.23738588206470E-002
     0.28117165129515E-006     0.15409950166941E-001     0.45473380014300E-002
     0.28502333293545E-006     0.23593226447701E-001     0.83944201469421E-002
     0.28887498615404E-006     0.35371802747250E-001     0.14933223836124E-001
     0.29272666779434E-006     0.51919415593147E-001     0.25600463151932E-001
     0.29657832101293E-006     0.74594691395760E-001     0.42293552309275E-001
     0.30043000265323E-006     0.10487645864487E+000     0.67334160208702E-001
     0.30428165587182E-006     0.14424765110016E+000     0.10330775380135E+000
     0.30813333751212E-006     0.19402144849300E+000     0.15274444222450E+000
     0.31198499073071E-006     0.25511085987091E+000     0.21763759851456E+000
     0.31583664394930E-006     0.32775545120239E+000     0.29884314537048E+000
     0.31968832558960E-006     0.41123285889626E+000     0.39545351266861E+000
     0.32353997880818E-006     0.50359922647476E+000     0.50429874658585E+000
     0.32739166044848E-006     0.60151374340057E+000     0.61976253986359E+000
     0.33124331366707E-006     0.70020848512650E+000     0.73401892185211E+000
     0.33509499530737E-006     0.79365837574005E+000     0.83779382705688E+000
     0.33894664852596E-006     0.87498527765274E+000     0.92154115438461E+000
     0.34279833016626E-006     0.93709415197372E+000     0.97688418626785E+000
     0.34664998338485E-006     0.97349315881729E+000     0.99798303842545E+000
     0.35050166502515E-006     0.97919887304306E+000     0.98255586624146E+000
     0.35435331824374E-006     0.95158600807190E+000     0.93228077888489E+000
     0.35820499988404E-006     0.89102011919022E+000     0.85249704122543E+000
     0.36205665310263E-006     0.80112224817276E+000     0.75127434730530E+000
     0.36590833474293E-006     0.68856036663055E+000     0.63806486129761E+000
     0.36975998796152E-006     0.56234514713287E+000     0.52226895093918E+000
     0.37361164118010E-006     0.43270450830460E+000     0.41199195384979E+000
     0.37746332282040E-006     0.30971091985703E+000     0.31321901082993E+000
     0.38131497603899E-006     0.20190466940403E+000     0.22949773073196E+000
     0.38516665767929E-006     0.11517537385225E+000     0.16206105053425E+000
     0.38901831089788E-006     0.52125282585621E-001     0.11029408872128E+000
     0.39286999253818E-006     0.12037724256516E-001     0.72343043982983E-001
     0.39672164575677E-006    -0.85589904338121E-002     0.45731998980045E-001
     0.40057332739707E-006    -0.14877844601870E-001     0.27862619608641E-001
     0.40442498061566E-006    -0.12655748054385E-001     0.16360854730010E-001
     0.40827666225596E-006    -0.70167318917811E-002     0.92591457068920E-002
     0.41212831547455E-006    -0.16627968288958E-002     0.50503672100604E-002
     0.41597999711485E-006     0.14637368731201E-002     0.26549671310931E-002
     0.41983165033344E-006     0.20391552243382E-002     0.13451996492222E-002
     0.42368333197373E-006     0.85865438450128E-003     0.65690791234374E-003
     0.42753498519232E-006    -0.82085712347180E-003     0.30918628908694E-003
     0.43138663841091E-006    -0.18805890576914E-002     0.14025815471541E-003
     0.43523832005121E-006    -0.17205843469128E-002     0.61324266425800E-004
     0.43908997326980E-006    -0.35685254260898E-003     0.25842793547781E-004
     0.44294165491010E-006     0.17259621527046E-002     0.10496511094971E-004
     0.44679330812869E-006     0.38543881382793E-002     0.41092321225733E-005
     0.45064498976899E-006     0.54455087520182E-002     0.15505122519244E-005
