 t              planeWave_Unnamed_point_outRq_Ey_50_50_50.dat       incid
     0.00000000000000E+000     0.00000000000000E+000     0.00000000000000E+000
     0.38516665412658E-008     0.00000000000000E+000     0.00000000000000E+000
     0.77033330825316E-008     0.00000000000000E+000     0.00000000000000E+000
     0.11554999623797E-007     0.00000000000000E+000     0.00000000000000E+000
     0.15406666165063E-007     0.00000000000000E+000     0.00000000000000E+000
     0.19258333594507E-007     0.00000000000000E+000     0.00000000000000E+000
     0.23109999247595E-007     0.00000000000000E+000     0.00000000000000E+000
     0.26961664900682E-007     0.00000000000000E+000     0.00000000000000E+000
     0.30813332330126E-007     0.00000000000000E+000     0.00000000000000E+000
     0.34664999759570E-007     0.00000000000000E+000     0.00000000000000E+000
     0.38516667189015E-007     0.00000000000000E+000     0.00000000000000E+000
     0.42368331065745E-007     0.00000000000000E+000     0.00000000000000E+000
     0.46219998495189E-007     0.00000000000000E+000     0.00000000000000E+000
     0.50071665924634E-007     0.00000000000000E+000     0.00000000000000E+000
     0.53923329801364E-007     0.00000000000000E+000     0.00000000000000E+000
     0.57774997230808E-007     0.00000000000000E+000     0.00000000000000E+000
     0.61626664660253E-007     0.00000000000000E+000     0.00000000000000E+000
     0.65478332089697E-007     0.00000000000000E+000     0.00000000000000E+000
     0.69329999519141E-007     0.00000000000000E+000     0.00000000000000E+000
     0.73181666948585E-007     0.00000000000000E+000     0.00000000000000E+000
     0.77033334378029E-007     0.00000000000000E+000     0.00000000000000E+000
     0.80884994702046E-007     0.00000000000000E+000     0.00000000000000E+000
     0.84736662131490E-007     0.00000000000000E+000     0.00000000000000E+000
     0.88588329560935E-007     0.00000000000000E+000     0.00000000000000E+000
     0.92439996990379E-007     0.00000000000000E+000     0.00000000000000E+000
     0.96291664419823E-007     0.00000000000000E+000     0.00000000000000E+000
     0.10014333184927E-006     0.00000000000000E+000     0.00000000000000E+000
     0.10399499927871E-006     0.00000000000000E+000     0.00000000000000E+000
     0.10784665960273E-006     0.00000000000000E+000     0.00000000000000E+000
     0.11169832703217E-006     0.00000000000000E+000     0.00000000000000E+000
     0.11554999446162E-006     0.00000000000000E+000     0.00000000000000E+000
     0.11940166189106E-006     0.00000000000000E+000     0.00000000000000E+000
     0.12325332932051E-006     0.00000000000000E+000     0.00000000000000E+000
     0.12710499674995E-006     0.00000000000000E+000     0.00000000000000E+000
     0.13095666417939E-006     0.00000000000000E+000     0.00000000000000E+000
     0.13480833160884E-006     0.00000000000000E+000     0.00000000000000E+000
     0.13865999903828E-006     0.00000000000000E+000     0.00000000000000E+000
     0.14251166646773E-006     0.00000000000000E+000     0.00000000000000E+000
     0.14636333389717E-006     0.00000000000000E+000     0.00000000000000E+000
     0.15021500132661E-006     0.00000000000000E+000     0.00000000000000E+000
     0.15406666875606E-006     0.00000000000000E+000     0.00000000000000E+000
     0.15791832197465E-006     0.00000000000000E+000     0.00000000000000E+000
     0.16176998940409E-006     0.00000000000000E+000     0.00000000000000E+000
     0.16562165683354E-006     0.00000000000000E+000     0.00000000000000E+000
     0.16947332426298E-006     0.00000000000000E+000     0.00000000000000E+000
     0.17332499169243E-006     0.00000000000000E+000     0.00000000000000E+000
     0.17717665912187E-006     0.00000000000000E+000     0.00000000000000E+000
     0.18102832655131E-006     0.00000000000000E+000     0.00000000000000E+000
     0.18487999398076E-006     0.00000000000000E+000     0.00000000000000E+000
     0.18873166141020E-006     0.00000000000000E+000     0.00000000000000E+000
     0.19258332883965E-006     0.00000000000000E+000     0.00000000000000E+000
     0.19643499626909E-006     0.00000000000000E+000     0.00000000000000E+000
     0.20028666369853E-006     0.00000000000000E+000     0.00000000000000E+000
     0.20413833112798E-006     0.00000000000000E+000     0.00000000000000E+000
     0.20798999855742E-006     0.00000000000000E+000     0.00000000000000E+000
     0.21184166598687E-006     0.00000000000000E+000     0.00000000000000E+000
     0.21569331920546E-006     0.00000000000000E+000     0.00000000000000E+000
     0.21954498663490E-006     0.00000000000000E+000     0.00000000000000E+000
     0.22339665406435E-006     0.00000000000000E+000     0.00000000000000E+000
     0.22724832149379E-006     0.00000000000000E+000     0.00000000000000E+000
     0.23109998892323E-006     0.00000000000000E+000     0.00000000000000E+000
     0.23495165635268E-006    -0.15599140643198E-033     0.00000000000000E+000
     0.23880332378212E-006    -0.11276897873734E-031     0.00000000000000E+000
     0.24265500542242E-006    -0.40575182678237E-030     0.00000000000000E+000
     0.24650665864101E-006    -0.96887637341667E-029     0.00000000000000E+000
     0.25035831185960E-006    -0.17273154096068E-027     0.00000000000000E+000
     0.25420999349990E-006    -0.24524327762710E-026     0.00000000000000E+000
     0.25806164671849E-006    -0.28884465600898E-025     0.00000000000000E+000
     0.26191332835879E-006    -0.29026420504495E-024     0.00000000000000E+000
     0.26576498157738E-006    -0.25405117541223E-023     0.00000000000000E+000
     0.26961666321768E-006    -0.19672794692410E-022     0.00000000000000E+000
     0.27346831643627E-006    -0.13645848467145E-021     0.00000000000000E+000
     0.27731999807656E-006    -0.85638012856583E-021     0.00000000000000E+000
     0.28117165129515E-006    -0.49028246986047E-020     0.00000000000000E+000
     0.28502333293545E-006    -0.25783772224078E-019     0.00000000000000E+000
     0.28887498615404E-006    -0.12529343512432E-018     0.00000000000000E+000
     0.29272666779434E-006    -0.56546149392186E-018     0.00000000000000E+000
     0.29657832101293E-006    -0.23806574425860E-017     0.00000000000000E+000
     0.30043000265323E-006    -0.93863401838975E-017     0.00000000000000E+000
     0.30428165587182E-006    -0.34775791299917E-016     0.00000000000000E+000
     0.30813333751212E-006    -0.12028552094814E-015     0.00000000000000E+000
     0.31198499073071E-006    -0.39781209417242E-015     0.00000000000000E+000
     0.31583664394930E-006    -0.12506059242592E-014     0.00000000000000E+000
     0.31968832558960E-006    -0.38613030280783E-014     0.00000000000000E+000
     0.32353997880818E-006    -0.10946601494721E-013     0.00000000000000E+000
     0.32739166044848E-006    -0.29063767180686E-013     0.00000000000000E+000
     0.33124331366707E-006    -0.74417468715060E-013     0.00000000000000E+000
     0.33509499530737E-006    -0.18462610455218E-012     0.00000000000000E+000
     0.33894664852596E-006    -0.29107766544301E-011     0.00000000000000E+000
     0.34279833016626E-006     0.48925273554712E-012     0.00000000000000E+000
     0.34664998338485E-006     0.56235051337783E-010     0.00000000000000E+000
     0.35050166502515E-006     0.23740304166964E-009     0.00000000000000E+000
     0.35435331824374E-006     0.48613602032788E-009     0.00000000000000E+000
     0.35820499988404E-006     0.24501876083605E-008     0.00000000000000E+000
     0.36205665310263E-006    -0.44505865659517E-008     0.00000000000000E+000
     0.36590833474293E-006    -0.10645685222244E-007     0.00000000000000E+000
     0.36975998796152E-006    -0.91818144198896E-008     0.00000000000000E+000
     0.37361164118010E-006    -0.52057087529533E-008     0.00000000000000E+000
     0.37746332282040E-006     0.11038632230509E-007     0.00000000000000E+000
     0.38131497603899E-006    -0.45161590023213E-008     0.00000000000000E+000
     0.38516665767929E-006    -0.41269753836559E-007     0.00000000000000E+000
     0.38901831089788E-006    -0.30940530137968E-007     0.00000000000000E+000
     0.39286999253818E-006     0.20152718605004E-007     0.00000000000000E+000
     0.39672164575677E-006     0.25567903350066E-007     0.00000000000000E+000
     0.40057332739707E-006    -0.23902220647187E-007     0.00000000000000E+000
     0.40442498061566E-006    -0.48182300815824E-007     0.00000000000000E+000
     0.40827666225596E-006    -0.27286400694493E-007     0.00000000000000E+000
     0.41212831547455E-006    -0.18271443025242E-007     0.00000000000000E+000
     0.41597999711485E-006    -0.35575538959165E-007     0.00000000000000E+000
     0.41983165033344E-006    -0.40241065590862E-007     0.00000000000000E+000
     0.42368333197373E-006    -0.31631948615995E-007     0.00000000000000E+000
     0.42753498519232E-006    -0.47109267597989E-007     0.00000000000000E+000
     0.43138663841091E-006    -0.85453066844821E-007     0.00000000000000E+000
     0.43523832005121E-006    -0.10472135159034E-006     0.00000000000000E+000
     0.43908997326980E-006    -0.88584208413067E-007     0.00000000000000E+000
     0.44294165491010E-006    -0.65552484329601E-007     0.00000000000000E+000
